id,url,verified,username,fullname,images,timestamp,text,links,isPinned,isQuote,isRetweet,isReply,likes,replies,retweets,quotes,user,replyingTo,quotedTweet
1812929969972256929,https://twitter.com/MrBeast/status/1812929969972256929,True,@MrBeast,MrBeast,,2024-07-15T19:19:00.000Z,👀,[],False,False,False,True,7209,403,211,14,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}","['/KreekCraft', '/lanaraee_', '/steak8593626152', '/MrBooshot']",
1812610942397734981,https://twitter.com/MrBeast/status/1812610942397734981,True,@MrBeast,MrBeast,,2024-07-14T22:11:00.000Z,❤️,[],False,False,False,True,4156,98,66,1,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",['/MKBHD'],
1812524829310136755,https://twitter.com/MrBeast/status/1812524829310136755,True,@MrBeast,MrBeast,,2024-07-14T16:29:00.000Z,Would have broken the world record if it wasn’t for GTA 6 trailer 🥲,[],False,False,False,False,99366,2255,1427,77,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",,
1812524185228320980,https://twitter.com/MrBeast/status/1812524185228320980,True,@MrBeast,MrBeast,['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GSdhIzgXsAASU5a.jpg'],2024-07-14T16:26:00.000Z,New video is my most viewed video ever in 24 hours 😮,[],False,False,False,False,179012,5283,5511,472,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",,
1812227648523047132,https://twitter.com/MrBeast/status/1812227648523047132,True,@MrBeast,MrBeast,,2024-07-13T20:48:00.000Z,Congrats :D,[],False,False,False,True,5182,240,94,10,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}","['/peteresaltare', '/Jesser']",
1812180310852841936,https://twitter.com/MrBeast/status/1812180310852841936,True,@MrBeast,MrBeast,,2024-07-13T17:40:00.000Z,🫵🏻😂,[],False,False,False,True,7528,197,109,6,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}","['/Valkyrae', '/KaiCenat', '/NikoOmilana', '/AjShabeel', '/JaidenAnimation', '/LudwigAhgren', '/alexandrabotez', '/itsandreabotez']",
1812175566465847424,https://twitter.com/MrBeast/status/1812175566465847424,True,@MrBeast,MrBeast,,2024-07-13T17:21:00.000Z,For real,[],False,False,False,True,6836,173,109,7,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",['/MKBHD'],
1812165270003212331,https://twitter.com/MrBeast/status/1812165270003212331,True,@MrBeast,MrBeast,,2024-07-13T16:40:00.000Z,lol,[],False,False,False,True,7105,187,117,11,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",['/Dexerto'],
1812155099373867268,https://twitter.com/MrBeast/status/1812155099373867268,True,@MrBeast,MrBeast,"['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GSYRbSAWwAAArzg.jpg', 'https://cdn.xcancel.comhttps://pbs.twimg.com/media/GSYRbR4WoAA2Vrt.jpg', 'https://cdn.xcancel.comhttps://pbs.twimg.com/media/GSYRbSWWoAA097Q.jpg', 'https://cdn.xcancel.comhttps://pbs.twimg.com/media/GSYRbSKWUAAM1o6.jpg']",2024-07-13T16:00:00.000Z,"50 YouTubers
1 Billion subscribers
$1,000,00 cash prize
My biggest video ever, Go Watch :D",[],False,False,False,False,216974,6554,11085,1457,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/994592419705274369/RLplF55e.jpg', 'username': '@MrBeast', 'userFullName': 'MrBeast', 'description': 'X Super Official CEO', 'location': 'Follow me for a cookie', 'website': 'feastables.com', 'joinDate': '2014-04-21T00:28:00.000Z', 'verified': True, 'totalLikes': 23754, 'totalTweets': 6768, 'totalFollowing': 1997, 'totalFollowers': 31249379, 'url': 'https://twitter.com/MrBeast'}",,
1826908679729250492,https://twitter.com/NekoKatClubNFT/status/1826908679729250492,True,@NekoKatClubNFT,Nekomimi Kat Club,['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GVp7qqNW4AAedgd.jpg'],2024-08-23T09:05:00.000Z,👁 drop your Solana wallets 👁,[],False,False,True,False,105,144,38,0,"{'avatar': 'https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1818157071251931136/uStFtC4D.jpg', 'username': '@mrbeastofcrypto', 'userFullName': 'MrBeast', 'description': ""I've made millions from crypto \nnow its time to give back to the community\nI am going to be the MrBeast of Web3 \nThis is a parody account dont take me seriously"", 'location': None, 'website': 'x.com/mrbeastofcrypto', 'joinDate': '2023-08-17T00:22:00.000Z', 'verified': False, 'totalLikes': 1597, 'totalTweets': 13, 'totalFollowing': 22, 'totalFollowers': 9756, 'url': 'https://twitter.com/mrbeastofcrypto'}",,
